Description,CPT,Gross Charge
ESTRADIOL VAL 10MG,J1380,107.0
GLYCATED PROTEIN,82985,362.0
THROMBIN TIME,85670,42.0
OBSRVATION ADDL HOUR,G0378,488.0
BONE CEMENT 2,C1713,523.0
MR-BRST BX LOC CLP 1,MANUL,5572.0
THERAPEUTIC IV PUSH,96374,1019.0
US-ENCEPHALOGRAM,76506,616.0
NEUR RE-ED-15MIN OT,97112,388.0
CPK MB FRACTION,82553,421.0
IV HYDRATION 1 HR,96360,1038.0
UE-ELBOW 3V DR,73080,761.0
S-TIB-PER REVASC STN,SURG,1432.0
LE-TOE S 2VPLUS DR,73660,1140.0
FACTOR V ASSAY,85220,995.0
P-INS GEN-LEAD VEN,SURG,49106.0
GARDNER VAG DNA QUAN,87512,233.0
M GENITALIUM AMP PRB,87563,111.0
ALTEPLASE RECOM 1MG,J2997,317.0
NEUR RE-ED-15MIN PTA,97112,388.0
FUROSEMIDE 20MG INJ,J1940,23.0
HYDROCORTIS 100MGINJ,J1720,168.0
MONONUC CELL AG QT,86356,186.0
CATH OCCLUSION 1,C2628,1499.0
GENTAMICIN UPTO 80MG,J1580,23.0
CHOLINESTERASE SERUM,82480,127.0
LEAD,83655,115.0
IMPL DV INT PRC LVL1,C1889,131.0
IVIG (OCTAGAM) 500MG,J1568,320.0
HE-NASAL BONES DR,70160,923.0
GENTAMICIN UPTO 80MG,J1580,14.0
TOPIRAMATE,80201,352.0
FENTANY CIT 0.1MGINJ,J3010,23.0
CATHETER GUIDING 2,C1887,3745.0
S-INJ ILEAL CONDUIT,50690,587.0
IV HYDRATION 1 HR,96360,1020.0
CATH BAL DIL NONVAS5,C1726,4469.0
ACYLCARNITINES QUANT,82017,123.0
GI LAB LEV 2 1ST 15,SURG,5640.0
"LACTOFERRIN,FEC QAL",83630,226.0
CREATININE CLEARANCE,82575,113.0
OT RE-EVAL VISIT OT,97168,492.0
CH-STERNUM DR,71120,783.0
GENTAMICIN UPTO 80MG,J1580,47.0
CT-ABLATION THER-RAD,SURG,21205.0
TBO-FILGRASTIM 1MCG,J1447,15.0
BONE CEMENT 1,C1713,559.0
BR-TOMO MAMMO UNI,G0279,248.0
BLD TYPING OTHER AG,86905,710.0
CALCITONIN,82308,382.0
ADM COV2 VAC (M) 2ND,0012A,60.0
"IGG SUB 1,2,3 OR 4",82787,58.0
MLH1 DUP-DEL VARIANT,81294,826.0
"CRYPTOSPOR AG,EIA",87328,256.0
ICC MLTPX AB ST,88344,278.0
HEPARIN NA 10U FLUSH,J1642,9.4
S-PNCTR ASP HEMA-CY,SURG,1556.0
FLU VAC QUAD 3YR-ADU,90686,100.0
LEVOFLOXAC 250MG INJ,J1956,106.0
S-DIAL EMBOLJ,SURG,1227.0
BONE LENGTH STUDY DR,77073,924.0
UE-ELBOW 3V DR,73080,761.0
IR-RPL DUOD JEJ TUBE,49451,3512.0
CATH BAL DIL NONVAS3,C1726,865.0
LFNL3 GENE,81283,234.0
MNL THRPY-15 MIN PTA,97140,281.0
PHENYTOIN TOTAL,80185,453.0
ADM COV2 VAC (P) 2ND,0002A,59.0
ONDANSETRON 1MG INJ,J2405,23.0
MR-BREAST BIL WO,77047,2331.0
HEPARIN 1000U INJ,J1644,3.5
NM-LUNG VENT PERFUS,78582,3934.0
DEBRDE LE 20SQCM PT,97597,790.0
METHYLPRED 125MG INJ,J2930,60.0
APOLIPOPROTEIN EACH,82172,107.0
AMMONIA,82140,454.0
CBC W-PLT,85027,249.0
SLF CRE MGT-15MN PTA,97535,293.0
FACTOR IX,85250,315.0
PATH CONSULT INT-1BL,88331,173.0
TISSUE NON-HUMAN 5,C1763,20047.0
IR-VENOGRAM EXT UNI,75820,3793.0
DEXAMETH NA 1MG INJ,J1100,12.0
THERAPEUTIC IV PUSH,96374,929.0
HOCM 350-399MG/ML 1M,Q9963,3.7
US-PELVIS NON OB,76856,903.0
BORRELIA BURG.CONFIR,86617,139.0
CORTISOL TOTAL,82533,107.0
PROT TOTL RANDOM URI,84156,229.0
NI-STRESS TEST,93017,2587.0
S-PRI ART M THRO ADD,SURG,2801.0
HETEROPHILE AB SCREE,86308,266.0
PROC WND CARE MAJOR,SURG,1430.0
S-PRI ART M THRO ADD,SURG,2801.0
CULTURE CHLAMYDIA,87110,166.0
ADM TOCLZMAB COV 1ST,M0249,954.0
PROS TRN INI15MI PT,97761,245.0
SMEAR FLUORES-ACI ST,87206,78.0
INFLIXIMAB-DYYB 10MG,Q5103,341.0
S-PNCTR ASP HEMA-CY,SURG,1556.0
LINEZOLID 200 MG,J2020,81.0
US-GUIDE NEEDLE PLAC,76942,2254.0
IR-INSERTION TIPS,SURG,8463.0
MYCOPENOLATE QT,80180,101.0
"FACTOR VIII, AHG",85240,782.0
NEG PR WN GT50CM PT,97606,1759.0
SP-NECK SOFT TISS DR,70360,761.0
EEG 61-119 MIN,95813,1591.0
LAMOTRIGINE QT,80175,71.0
S-PERC ABLT LIVER RF,SURG,21205.0
CH-RIBS BI PA CXR DR,71111,781.0
HALOPERIDOL 5MG INJ,J1630,47.0
IV HYDRAT EA ADD HR,96361,270.0
DIHYDROERGOT 1MG INJ,J1110,473.0
"SMEAR,GRAM STAIN",87205,169.0
IVIG (OCTAGAM) 500MG,J1568,283.0
AD PROCEDURE OR LV 4,SURG,4008.0
HIV1 AG HIV1 HIV2 AB,G0433,98.0
INTERMEDIATE ED VIST,99283,1472.0
ROPIVACAINE 1MG INJ,J2795,0.9
CATH-INFUS PERIF 3,C1751,1815.0
"DETECT AGNT NOS,DNAQ",87799,1248.0
CYANIDE,82600,121.0
CO2-MEMBANE DIFF CAP,94729,1329.0
FIBRINOGEN ACTIVITY,85384,281.0
S-INJ HIP ARTHRO,27093,786.0
MR-BRAIN W,70552,5683.0
CATH TRNS ARTHR ROT3,C1724,4363.0
UE-SHLDR 2VW PLUS DR,73030,1343.0
RENAL FUNCTION PANEL,80069,250.0
FLECAINIDE QT,80181,376.0
"HEMOGLOBIN, CHROMA",83021,138.0
NM-THYROID MET BODY,78018,2140.0
"ANTIBODY SCREEN, RBC",86850,285.0
PMP22 GENE DUP-DEL,81324,1588.0
LACTIC ACID,83605,317.0
LE-TOE S 2VPLUS DR,73660,1140.0
I131 SOD IOD TX-MCI,A9517,124.0
METANEPHRINES,83835,342.0
CT-NECK SOFT TIS W,70491,4036.0
S-TIB PER REVAS ATHR,SURG,86353.0
ANDROSTENEDIONE,82157,241.0
EUGLOBULIN LYSIS,85360,1561.0
SLCO1B1 GENE COM VAR,81328,557.0
MIDAZOL HCL 1MG INJ,J2250,1.9
VESS MAP HEMO ACC UN,93986,553.0
CT-UPPER EXT W,73201,7572.0
VEEG 2-12 HRS INTERM,95712,2998.0
TC99M MEBROF - DOSE,A9537,437.0
S-INS ENDO VENA CAVA,37191,24608.0
LIMITED ED VISIT,99282,982.0
CEFTRIAXONE 250MGINJ,J0696,47.0
FUROSEMIDE 20MG INJ,J1940,9.4
WHLCHR MGT-15 MIN PT,97542,279.0
S-BRST CYST ASPIRAT,SURG,1947.0
MYELIN BASIC PROTEIN,83873,362.0
EPO 1000UN INJ NESRD,J0885,96.0
LITHOTRIPSY,MANUL,27872.0
INFLIXIMAB,80230,124.0
MR-ABDOMEN WO,74181,4740.0
BRIVARAC 10MG/ML 5ML,C9399,255.0
OR LEV 3 EA ADD MIN,SURG,131.0
TOCILIZUMAB 1MG INJ,Q0249,21.0
CT-ABDOMEN WO,74150,3256.0
SUTURE REMOVAL,G0463,229.0
"VITAMIN ASSAY, NOS",84591,329.0
ANTIEPILP NOS MS 4-6,80340,81.0
MESH IMPLANTABLE 6,C1781,11262.0
CARBAMAZEPINE FREE,80157,60.0
LE-KNEE 3V DR,73562,537.0
IR-TC PLC STN ART IN,SURG,57432.0
LEVOFLOXAC 250MG INJ,J1956,27.0
"H PYLORI,BREATH TEST",83013,453.0
IMF SPEC 1ST AB ST,88346,720.0
MICROSOMAL AB,86376,308.0
NM-RX ORAL ADMIN,79005,1517.0
THERA EA AD IV PUSH,96375,501.0
FLU VAC QUAD 6-35MO,90687,50.0
PRS-ORT SUB-15MN PTA,97763,245.0
IV HYDRAT EA ADD HR,96361,266.0
SP-CERV SP 2TO3VW DR,72040,806.0
METHYLPRED 125MG INJ,J2930,24.0
INSULIN AB,86337,933.0
CT-PARV BIINJ L-S L1,SURG,3624.0
OT EVAL-MOD CMP COTA,97166,996.0
FUNGI IDENTIF YEAST,87106,72.0
S-FEM POP REVAS STNT,SURG,60052.0
HLA2 TYP HR 1 LOC EA,81382,470.0
PROC WND CARE INTERM,SURG,1203.0
BLASTOMYCES AB,86612,78.0
AMPHOTER B 50MG INJ,J0285,226.0
ACTYLCYSTN INJ 100MG,J0132,11.0
COAG TIME ACTIVATED,85347,18.0
CALR GENE COM VAR,81219,606.0
OR LEV 6 INI 15 MIN,SURG,15433.0
PF TEST BY GAS,94727,841.0
"THYROXINE T4, NEO",84437,47.0
BASIC METABO CA TOTA,80048,265.0
OCTREOTIDE ND 25MCG,J2354,8.9
IR-TIB PER RE STN AT,SURG,76397.0
HEPARIN 1000U INJ,J1644,50.0
IN111 OXYQUINO-.5MCI,A9547,6477.0
THER ACTVT-15MIN PT,97530,323.0
MLH1 PROM GN METHYLT,81288,697.0
MNL THRPY-15 MIN OT,97140,281.0
ANCHOR/SCRW LEVEL 8,C1713,5991.0
S-TRNSCTH THROM ART,SURG,22988.0
MSED SAMEGT5 1ST15,99152,1259.0
EHRLICHIA AB,86666,45.0
"HEPATITIS B,DNA QNT",87517,1056.0
US-BRST BX LOC CLP 1,MANUL,5451.0
STNT NON-COR TM DL 3,C2625,11873.0
ADENOVIRUS AB,86603,169.0
MANIP CHST WALL INIT,94667,571.0
ERYTHROMYC 500MG INJ,J1364,366.0
NI-TTE 2D MM LTD WO,93308,2426.0
DOBUTAMINE 250MG INJ,J1250,46.0
ANCHOR/SCRW LEVEL 6,C1713,3192.0
S-H PLTPH LEUKCMV-EA,P9053,6427.0
METHOTREXATE 2.5MGPO,J8610,26.0
IV THERAPY EA AD HR,96366,355.0
CT-NECK SOFT TIS WWO,70492,5411.0
DEBRDE EA AD20CM PT,97598,550.0
US-THORACNTSIS W IMG,32555,4645.0
UE-UP EXT INFANT DR,73092,623.0
PROCEDURE COMPLEX,SURG,4655.0
CFTR FULL GENE SEQ,81223,1809.0
CHROMOSOME ANAL20-25,88264,691.0
"TROPONIN,QNT",84484,646.0
CATH-ANGIO LEVEL 1,C1725,1211.0
SPLNT FNGR STAT COTA,29130,313.0
MASSG THRPY-15MN PT,97124,235.0
CTA-ABD ART W RUNOFF,75635,7777.0
AMPHETAMINES MS 5 PL,80326,411.0
"NEPHELOMETRY, NOS",83883,412.0
S-RETROURETHROCY INJ,51610,554.0
CH-BABYGRAM FB DR,76010,593.0
S-ABDOMEN ADD ORDER,36248,2801.0
"HIV-2, DNA,AMP PROBE",87538,177.0
COXIELLA BRUN QFEV,86638,64.0
US-DRN INJ SMAL JT W,20604,2560.0
INFLUENZA VIRUS AB,86710,71.0
CH-RIB UNI PA CXR DR,71101,973.0
STNT COAT/COV W/DEL1,C1874,7487.0
DOPAMIN HCL 40MG INJ,J1265,7.6
HAEMOPH B TETAN INJ,90648,47.0
S-BRST CYST ASPIRAT,SURG,1947.0
MR-THOR SPINE WO,72146,4992.0
"PHOSPHATASE, PROSTAT",84066,71.0
CT-CERV SPINE W,72126,4326.0
PENICI G POT .6MUINJ,J2540,9.4
GENRATR NEUROSTM 2,C1767,80171.0
UE-UP EXT INFANT DR,73092,623.0
RBC COUNT,85041,75.0
DEBRIDE EA ADD 20CM,97598,561.0
ACETAMINOPHEN QT,80143,408.0
IR-PLC NPHROSTMY CTH,SURG,8484.0
PART AGGLUT.SCREEN,86403,296.0
JOINT DEVICE IMPLT 4,C1776,22465.0
GARDNER VAG DNA AMPP,87511,130.0
PROINSULIN,84206,119.0
"HEMATOCRIT, OTHER",85014,75.0
CT-CTH FLUID PER RET,MANUL,12255.0
ALPHA 1-ANTITRYP PHE,82104,106.0
PHYS PERF-15 MIN PTA,97750,304.0
PEN G BENZ INJ 100K,J0561,60.0
S-INJ EXTREMPSEUDOAN,36002,1935.0
SPINAL TAP DIAG W-IM,62328,4516.0
CH-CHEST 2V DR,71046,846.0
CANDIDA DNA DIR PROB,87480,113.0
IC-XTRCRAN VERT STNT,SURG,17458.0
WBC AB IDENT,86021,334.0
D5LR UP TO 1000ML,J7121,182.0
PREGABALIN MS,80366,74.0
MANIP CHST WALL SBSQ,94668,362.0
CALPROTECTIN FECAL,83993,143.0
METHOTREX NA 5MG,J9250,4.7
S-H PLAT A-P L-R IRR,P9037,6809.0
IMM ADM EA ADD VACC,90472,53.0
CATH HEMODIAL LT 1,C1750,1807.0
PLATELET AB,86022,265.0
CFTR GENE ANALY DUPD,81222,1576.0
"HAPTOGLOBIN, QUANT",83010,312.0
NM-THY UPT IMG W-BF,78014,4260.0
MR-LOWER EXTR W,73719,3816.0
BIPAP/CPAP,94660,4995.0
ALBUMIN SERUM,82040,78.0
NORM SAL STER500MLIV,J7040,182.0
ALBUMIN 5% 250ML IV,P9045,312.0
"HIV-1, DNA,AMP PROBE",87535,719.0
GI LEV 3 EA ADD MIN,SURG,23.0
COVID19 AG EIA OPTIC,87811,132.0
MICROBE SUSCEPT MIC,87186,228.0
AMIODARONE 30MG INJ,J0282,9.4
LE-CALCANEUS 2PLS DR,73650,979.0
METHADONE MS,80358,604.0
HEP A VIRUS VACCINE,90632,86.0
US-HIPS INFANT NO MA,76886,294.0
KRAS GENE ADDL VAR,81276,256.0
"SMEAR,SPECIAL STAIN",87207,245.0
