SVCCD,Description,CPT,Gross Charge,As of Date,DISCOUNTED CASH PRICE INPATIENT,DISCOUNTED CASH PRICE OUTPATIENT,DE-IDENTIFIED MIN,DE-IDENTIFIED MAX,Premera Blue Cross of AK - All Plans ,Premera Blue Cross of AK - CHS Employees - All Plans ,Aetna HMO PPO POS - All Plans ,Aetna AK Care (State) HMO PPO POS - All Plans ,Pacific Health Coalition PPO - All Plans ,United Healthcare PPO POS - All Plans ,Cigna PPO - All Plans ,MODA PPO - All Plans ,Multiplan PPO - All Plans 
1211048,EPO 1000UN INJ NESRD,J0885,96,2/13/2023,48,28.8,44.064,90.144,46.656,44.064,67.296,64.704,54.336,64.032,69.024,71.712,90.144
1317094,MOLEC PATH LEV 4,81403,1199,2/13/2023,599.5,359.7,550.341,1125.861,582.714,550.341,840.499,808.126,678.634,799.733,862.081,895.653,1125.861
1217810,HYDROMORPHONE 2MG TA,,11,2/13/2023,5.5,3.3,5.049,10.329,5.346,5.049,7.711,7.414,6.226,7.337,7.909,8.217,10.329
1314773,FACTOR X,85260,132,2/13/2023,66,39.6,60.588,123.948,64.152,60.588,92.532,88.968,74.712,88.044,94.908,98.604,123.948
1219036,CARB50-LEVO200MGSRTB,,11,2/13/2023,5.5,3.3,5.049,10.329,5.346,5.049,7.711,7.414,6.226,7.337,7.909,8.217,10.329
1218053,NAFCILLIN 2GM SOLR,,146,2/13/2023,73,43.8,67.014,137.094,70.956,67.014,102.346,98.404,82.636,97.382,104.974,109.062,137.094
1213009,MITOMYCIN 5MG INJ,J9280,531,2/13/2023,265.5,159.3,243.729,498.609,258.066,243.729,372.231,357.894,300.546,354.177,381.789,396.657,498.609
1314591,"DNA AB,NATIVE-DOUBL",86225,157,2/13/2023,78.5,47.1,72.063,147.423,76.302,72.063,110.057,105.818,88.862,104.719,112.883,117.279,147.423
7211486,OXYCOD5-APAP325MG TB,,11,2/13/2023,5.5,3.3,5.049,10.329,5.346,5.049,7.711,7.414,6.226,7.337,7.909,8.217,10.329
1221074,AMINO ACID 10% 500ML,,182,2/13/2023,91,54.6,83.538,170.898,88.452,83.538,127.582,122.668,103.012,121.394,130.858,135.954,170.898
1691118,IR-RPL GASTRO J TUBE,49452,2717,2/13/2023,1358.5,815.1,1247.103,2551.263,1320.462,1247.103,1904.617,1831.258,1537.822,1812.239,1953.523,2029.599,2551.263
1219138,TIAGABINE 4MG TAB,,30,2/13/2023,15,9,13.77,28.17,14.58,13.77,21.03,20.22,16.98,20.01,21.57,22.41,28.17
1314715,"PROTOZOA AB, NOS",86753,108,2/13/2023,54,32.4,49.572,101.412,52.488,49.572,75.708,72.792,61.128,72.036,77.652,80.676,101.412
1210243,BISMUTH 17.5MG/ML 15,,11,2/13/2023,5.5,3.3,5.049,10.329,5.346,5.049,7.711,7.414,6.226,7.337,7.909,8.217,10.329
1218096,NITROGLYCE 50MG/10ML,,88,2/13/2023,44,26.4,40.392,82.632,42.768,40.392,61.688,59.312,49.808,58.696,63.272,65.736,82.632
1110812,OR LEV 2 EA ADD MIN,SURG,109,2/13/2023,54.5,32.7,50.031,102.351,52.974,50.031,76.409,73.466,61.694,72.703,78.371,81.423,102.351
1217397,DICYCLOMINE 20MG TAB,,11,2/13/2023,5.5,3.3,5.049,10.329,5.346,5.049,7.711,7.414,6.226,7.337,7.909,8.217,10.329
1314846,CULTURE BACTERIA OTH,87070,305,2/13/2023,152.5,91.5,139.995,286.395,148.23,139.995,213.805,205.57,172.63,203.435,219.295,227.835,286.395
1633741,S-PNCTR ASP HEMA-CY,SURG,1556,2/13/2023,778,466.8,714.204,1461.084,756.216,714.204,1090.756,1048.744,880.696,1037.852,1118.764,1162.332,1461.084
1314822,PROTHROMBIN TIME,85610,73,2/13/2023,36.5,21.9,33.507,68.547,35.478,33.507,51.173,49.202,41.318,48.691,52.487,54.531,68.547
1855032,NEUR RE-ED-15MN COTA,97112,388,2/13/2023,194,116.4,178.092,364.332,188.568,178.092,271.988,261.512,219.608,258.796,278.972,289.836,364.332
1316489,COVID19 PRB,87635,129,2/13/2023,64.5,38.7,59.211,121.131,62.694,59.211,90.429,86.946,73.014,86.043,92.751,96.363,121.131
1219221,CISATRACUR 20MG/10ML,,157,2/13/2023,78.5,47.1,72.063,147.423,76.302,72.063,110.057,105.818,88.862,104.719,112.883,117.279,147.423
1854993,SPLT SHRTARM ST COTA,29125,744,2/13/2023,372,223.2,341.496,698.616,361.584,341.496,521.544,501.456,421.104,496.248,534.936,555.768,698.616
1314245,ESTRONE,82679,176,2/13/2023,88,52.8,80.784,165.264,85.536,80.784,123.376,118.624,99.616,117.392,126.544,131.472,165.264
1212583,VANCOMYCIN 500MG INJ,J3372,37,2/13/2023,18.5,11.1,16.983,34.743,17.982,16.983,25.937,24.938,20.942,24.679,26.603,27.639,34.743
1314725,"TOXOPLASMA AB, IGM",86778,126,2/13/2023,63,37.8,57.834,118.314,61.236,57.834,88.326,84.924,71.316,84.042,90.594,94.122,118.314
1212527,PHENOBARB 120MG INJ,J2560,135,2/13/2023,67.5,40.5,61.965,126.765,65.61,61.965,94.635,90.99,76.41,90.045,97.065,100.845,126.765
1314863,CULT MYCOBACTERIA,87116,231,2/13/2023,115.5,69.3,106.029,216.909,112.266,106.029,161.931,155.694,130.746,154.077,166.089,172.557,216.909
1218420,TORSEMIDE 10MG TAB,,11,2/13/2023,5.5,3.3,5.049,10.329,5.346,5.049,7.711,7.414,6.226,7.337,7.909,8.217,10.329
1532115,THERAPEUTIC IV PUSH,96374,1020,2/13/2023,510,306,468.18,957.78,495.72,468.18,715.02,687.48,577.32,680.34,733.38,761.94,957.78
1221296,ELECTROLYTE-A 1000ML,,182,2/13/2023,91,54.6,83.538,170.898,88.452,83.538,127.582,122.668,103.012,121.394,130.858,135.954,170.898
1010014,"NI-EKG, 12 LEADS",93005,721,2/13/2023,360.5,216.3,330.939,677.019,350.406,330.939,505.421,485.954,408.086,480.907,518.399,538.587,677.019
1314044,PRIMIDONE,80188,142,2/13/2023,71,42.6,65.178,133.338,69.012,65.178,99.542,95.708,80.372,94.714,102.098,106.074,133.338
8061035,S-INTROCATH SEGPULM,36015,1400,2/13/2023,700,420,642.6,1314.6,680.4,642.6,981.4,943.6,792.4,933.8,1006.6,1045.8,1314.6
1216966,ALLOPURINOL 100MG TB,,11,2/13/2023,5.5,3.3,5.049,10.329,5.346,5.049,7.711,7.414,6.226,7.337,7.909,8.217,10.329
7211882,MYCOPHE MOF 250MG PO,J7517,16,2/13/2023,8,4.8,7.344,15.024,7.776,7.344,11.216,10.784,9.056,10.672,11.504,11.952,15.024
1314496,TRANSFERRIN,84466,165,2/13/2023,82.5,49.5,75.735,154.935,80.19,75.735,115.665,111.21,93.39,110.055,118.635,123.255,154.935
7211807,DAPTOMYCIN 1 MG INJ,J0878,3.2,2/13/2023,1.6,0.96,1.4688,3.0048,1.5552,1.4688,2.2432,2.1568,1.8112,2.1344,2.3008,2.3904,3.0048
1210083,HYDROMORPH UP TO 4MG,J1170,5.8,2/13/2023,2.9,1.74,2.6622,5.4462,2.8188,2.6622,4.0658,3.9092,3.2828,3.8686,4.1702,4.3326,5.4462
1314861,CULT MYCOPLASMA,87109,275,2/13/2023,137.5,82.5,126.225,258.225,133.65,126.225,192.775,185.35,155.65,183.425,197.725,205.425,258.225
1216946,ACETAMINO 120MG SUPP,,31,2/13/2023,15.5,9.3,14.229,29.109,15.066,14.229,21.731,20.894,17.546,20.677,22.289,23.157,29.109
1882308,SP-HEAR-TX-INDI VIST,92507,833,2/13/2023,416.5,249.9,382.347,782.187,404.838,382.347,583.933,561.442,471.478,555.611,598.927,622.251,782.187
1316704,DEF DRUG NOS MS 1-3,80375,39,2/13/2023,19.5,11.7,17.901,36.621,18.954,17.901,27.339,26.286,22.074,26.013,28.041,29.133,36.621
1314433,POTASSIUM SER PL WB,84132,90,2/13/2023,45,27,41.31,84.51,43.74,41.31,63.09,60.66,50.94,60.03,64.71,67.23,84.51
1314851,CULT AEROBIC IDENTIF,87077,193,2/13/2023,96.5,57.9,88.587,181.227,93.798,88.587,135.293,130.082,109.238,128.731,138.767,144.171,181.227
1314589,DEOXYRIBONUCLEASE AB,86215,116,2/13/2023,58,34.8,53.244,108.924,56.376,53.244,81.316,78.184,65.656,77.372,83.404,86.652,108.924
1314563,"ALLERGEN IGE,QUALMUL",86005,47,2/13/2023,23.5,14.1,21.573,44.133,22.842,21.573,32.947,31.678,26.602,31.349,33.793,35.109,44.133
1214823,ALOGLIPTIN 25MG TAB,,33,2/13/2023,16.5,9.9,15.147,30.987,16.038,15.147,23.133,22.242,18.678,22.011,23.727,24.651,30.987
1217443,HYOSCYAMI.125MG SLTB,,11,2/13/2023,5.5,3.3,5.049,10.329,5.346,5.049,7.711,7.414,6.226,7.337,7.909,8.217,10.329
1218084,NICOTINE 21MG/24HR P,,31,2/13/2023,15.5,9.3,14.229,29.109,15.066,14.229,21.731,20.894,17.546,20.677,22.289,23.157,29.109
1621638,US-BREAST COMPLETE,76641,684,2/13/2023,342,205.2,313.956,642.276,332.424,313.956,479.484,461.016,387.144,456.228,491.796,510.948,642.276
165123,R&B PEDIATRIC SEMI,,6092,2/13/2023,3046,1827.6,2796.228,5720.388,2960.712,2796.228,4270.492,4106.008,3448.072,4063.364,4380.148,4550.724,5720.388
7211526,MORPH 20MG/ML OR.5ML,,11,2/13/2023,5.5,3.3,5.049,10.329,5.346,5.049,7.711,7.414,6.226,7.337,7.909,8.217,10.329
1218118,OFLOXACIN .3%OS 5ML,,108,2/13/2023,54,32.4,49.572,101.412,52.488,49.572,75.708,72.792,61.128,72.036,77.652,80.676,101.412
7211966,MAGNES SULF 500MGINJ,J3475,96,2/13/2023,48,28.8,44.064,90.144,46.656,44.064,67.296,64.704,54.336,64.032,69.024,71.712,90.144
1218817,LIDOCAINE 4% 5ML,,47,2/13/2023,23.5,14.1,21.573,44.133,22.842,21.573,32.947,31.678,26.602,31.349,33.793,35.109,44.133
1219226,CLINDAMYCI 900MG/6ML,,47,2/13/2023,23.5,14.1,21.573,44.133,22.842,21.573,32.947,31.678,26.602,31.349,33.793,35.109,44.133
7211556,ALISKIREN 150MG TAB,,35,2/13/2023,17.5,10.5,16.065,32.865,17.01,16.065,24.535,23.59,19.81,23.345,25.165,26.145,32.865
7218064,NON-RAD/CONT VIS 1ML,Q9968,94,2/13/2023,47,28.2,43.146,88.266,45.684,43.146,65.894,63.356,53.204,62.698,67.586,70.218,88.266
7211827,BIVALIRUDIN 1MG INJ,J0583,7.3,2/13/2023,3.65,2.19,3.3507,6.8547,3.5478,3.3507,5.1173,4.9202,4.1318,4.8691,5.2487,5.4531,6.8547
1217853,PAROXETINE 10MG TAB,,11,2/13/2023,5.5,3.3,5.049,10.329,5.346,5.049,7.711,7.414,6.226,7.337,7.909,8.217,10.329
1316334,CYSTATIN C,82610,67,2/13/2023,33.5,20.1,30.753,62.913,32.562,30.753,46.967,45.158,37.922,44.689,48.173,50.049,62.913
1814902,PT EVAL- HGH CMP PT,97163,633,2/13/2023,316.5,189.9,290.547,594.387,307.638,290.547,443.733,426.642,358.278,422.211,455.127,472.851,594.387
1612443,DXA BONE DENS AXIAL,77085,896,2/13/2023,448,268.8,411.264,841.344,435.456,411.264,628.096,603.904,507.136,597.632,644.224,669.312,841.344
1211087,LIDOCAINE 4% SOL 4ML,,155,2/13/2023,77.5,46.5,71.145,145.545,75.33,71.145,108.655,104.47,87.73,103.385,111.445,115.785,145.545
1824974,ELEC STM-UNAT-VI PT,G0283,88,2/13/2023,44,26.4,40.392,82.632,42.768,40.392,61.688,59.312,49.808,58.696,63.272,65.736,82.632
1317097,MOLEC PATH LEV 7,81406,2397,2/13/2023,1198.5,719.1,1100.223,2250.783,1164.942,1100.223,1680.297,1615.578,1356.702,1598.799,1723.443,1790.559,2250.783
1140132,ANES LV 2 EA ADD MIN,,19,2/13/2023,9.5,5.7,8.721,17.841,9.234,8.721,13.319,12.806,10.754,12.673,13.661,14.193,17.841
1581063,BR-TOMO MAMM SCR UNI,77063,248,2/13/2023,124,74.4,113.832,232.872,120.528,113.832,173.848,167.152,140.368,165.416,178.312,185.256,232.872
1321067,CYTOGENETICS 25-99,88274,135,2/13/2023,67.5,40.5,61.965,126.765,65.61,61.965,94.635,90.99,76.41,90.045,97.065,100.845,126.765
1314428,"PORPHOBILINOGEN,QUAN",84110,176,2/13/2023,88,52.8,80.784,165.264,85.536,80.784,123.376,118.624,99.616,117.392,126.544,131.472,165.264
1314531,CLIN CHEM TEST NOS,84999,27,2/13/2023,13.5,8.1,12.393,25.353,13.122,12.393,18.927,18.198,15.282,18.009,19.413,20.169,25.353
1217979,METHYLDOPA 250MG TAB,,11,2/13/2023,5.5,3.3,5.049,10.329,5.346,5.049,7.711,7.414,6.226,7.337,7.909,8.217,10.329
1316522,ESTRADIOL TOTAL,82670,231,2/13/2023,115.5,69.3,106.029,216.909,112.266,106.029,161.931,155.694,130.746,154.077,166.089,172.557,216.909
1314146,ASCORBIC ACID,82180,90,2/13/2023,45,27,41.31,84.51,43.74,41.31,63.09,60.66,50.94,60.03,64.71,67.23,84.51
1314997,"M.PNEUM,DNA,AMP PROB",87581,799,2/13/2023,399.5,239.7,366.741,750.261,388.314,366.741,560.099,538.526,452.234,532.933,574.481,596.853,750.261
8611193,FL-LONG GI TUBE PLC,74340,2695,2/13/2023,1347.5,808.5,1237.005,2530.605,1309.77,1237.005,1889.195,1816.43,1525.37,1797.565,1937.705,2013.165,2530.605
1719024,INHALATION TRTMT SUB,94640,1014,2/13/2023,507,304.2,465.426,952.146,492.804,465.426,710.814,683.436,573.924,676.338,729.066,757.458,952.146
1316542,T VAGINALIS AMP,87661,196,2/13/2023,98,58.8,89.964,184.044,95.256,89.964,137.396,132.104,110.936,130.732,140.924,146.412,184.044
8691048,S-ABDOMEN 3RD ORDER,36247,2477,2/13/2023,1238.5,743.1,1136.943,2325.903,1203.822,1136.943,1736.377,1669.498,1401.982,1652.159,1780.963,1850.319,2325.903
1110865,BILAT LITHOTRIPSY,MANUL,55743,2/13/2023,27871.5,16722.9,25586.037,52342.677,27091.098,25586.037,39075.843,37570.782,31550.538,37180.581,40079.217,41640.021,52342.677
7210665,EMTR200-TENO300MG TB,,192,2/13/2023,96,57.6,88.128,180.288,93.312,88.128,134.592,129.408,108.672,128.064,138.048,143.424,180.288
7212251,DORNASE ALFA 1MG INH,,448,2/13/2023,224,134.4,205.632,420.672,217.728,205.632,314.048,301.952,253.568,298.816,322.112,334.656,420.672
2072336,NEG PR WN MD LT 50CM,97607,488,2/13/2023,244,146.4,223.992,458.232,237.168,223.992,342.088,328.912,276.208,325.496,350.872,364.536,458.232
1533156,ADM COV2 VAC (M) 2ND,0012A,59,2/13/2023,29.5,17.7,27.081,55.401,28.674,27.081,41.359,39.766,33.394,39.353,42.421,44.073,55.401
1321064,CYTOGENETICS DNA-PRO,88271,646,2/13/2023,323,193.8,296.514,606.594,313.956,296.514,452.846,435.404,365.636,430.882,464.474,482.562,606.594
1217048,BENZTROPINE ME 1MGTB,,11,2/13/2023,5.5,3.3,5.049,10.329,5.346,5.049,7.711,7.414,6.226,7.337,7.909,8.217,10.329
1631533,CT-CHEST DIAG WWO,71270,5121,2/13/2023,2560.5,1536.3,2350.539,4808.619,2488.806,2350.539,3589.821,3451.554,2898.486,3415.707,3681.999,3825.387,4808.619
1218677,CLOZAPINE 25MG TAB,,11,2/13/2023,5.5,3.3,5.049,10.329,5.346,5.049,7.711,7.414,6.226,7.337,7.909,8.217,10.329
1214087,CEFTO50-TAZO25MG INJ,J0695,23,2/13/2023,11.5,6.9,10.557,21.597,11.178,10.557,16.123,15.502,13.018,15.341,16.537,17.181,21.597
1221011,D5-0.2% NACL 1000ML,,182,2/13/2023,91,54.6,83.538,170.898,88.452,83.538,127.582,122.668,103.012,121.394,130.858,135.954,170.898
1140212,OR LEV 2 INI 15 MIN,SURG,9545,2/13/2023,4772.5,2863.5,4381.155,8962.755,4638.87,4381.155,6691.045,6433.33,5402.47,6366.515,6862.855,7130.115,8962.755
1693836,S-DRAIN PERITON ABSC,SURG,11281,2/13/2023,5640.5,3384.3,5177.979,10592.859,5482.566,5177.979,7907.981,7603.394,6385.046,7524.427,8111.039,8426.907,10592.859
1212504,FENT2MCG-BUP.125%100,,284,2/13/2023,142,85.2,130.356,266.676,138.024,130.356,199.084,191.416,160.744,189.428,204.196,212.148,266.676
1414407,CATH-INFUS PERIF 8,C1751,4870,2/13/2023,2435,1461,2235.33,4572.93,2366.82,2235.33,3413.87,3282.38,2756.42,3248.29,3501.53,3637.89,4572.93
1631501,CT-PELVIS WO,72192,3344,2/13/2023,1672,1003.2,1534.896,3140.016,1625.184,1534.896,2344.144,2253.856,1892.704,2230.448,2404.336,2497.968,3140.016
1219918,PHENYTOIN 25MG/ML 4M,,36,2/13/2023,18,10.8,16.524,33.804,17.496,16.524,25.236,24.264,20.376,24.012,25.884,26.892,33.804
1217873,PIOGLITAZONE 15MG TB,,29,2/13/2023,14.5,8.7,13.311,27.231,14.094,13.311,20.329,19.546,16.414,19.343,20.851,21.663,27.231
1219916,OXYMETAZLN HCL.05%15,,31,2/13/2023,15.5,9.3,14.229,29.109,15.066,14.229,21.731,20.894,17.546,20.677,22.289,23.157,29.109
1314752,HEMOGLOBIN,85018,75,2/13/2023,37.5,22.5,34.425,70.425,36.45,34.425,52.575,50.55,42.45,50.025,53.925,56.025,70.425
1218190,POTAS CHL 10MEQ ERTB,,11,2/13/2023,5.5,3.3,5.049,10.329,5.346,5.049,7.711,7.414,6.226,7.337,7.909,8.217,10.329
1217266,CAPTOPRIL 12.5MG TAB,,11,2/13/2023,5.5,3.3,5.049,10.329,5.346,5.049,7.711,7.414,6.226,7.337,7.909,8.217,10.329
1040021,NI-CARDI REHAB W- MO,93798,758,2/13/2023,379,227.4,347.922,711.762,368.388,347.922,531.358,510.892,429.028,505.586,545.002,566.226,711.762
1140163,PACU LEV 3 INI 15 MN,,3305,2/13/2023,1652.5,991.5,1516.995,3103.395,1606.23,1516.995,2316.805,2227.57,1870.63,2204.435,2376.295,2468.835,3103.395
1414100,BREAST IMPLANT 1,C1789,2867,2/13/2023,1433.5,860.1,1315.953,2692.113,1393.362,1315.953,2009.767,1932.358,1622.722,1912.289,2061.373,2141.649,2692.113
7210502,LEVETIRACET 500MG TB,,11,2/13/2023,5.5,3.3,5.049,10.329,5.346,5.049,7.711,7.414,6.226,7.337,7.909,8.217,10.329
1651073,NM-MYOCRD SPECT SNGL,78451,5683,2/13/2023,2841.5,1704.9,2608.497,5336.337,2761.938,2608.497,3983.783,3830.342,3216.578,3790.561,4086.077,4245.201,5336.337
1217447,IBUPROFEN 600MG TAB,,11,2/13/2023,5.5,3.3,5.049,10.329,5.346,5.049,7.711,7.414,6.226,7.337,7.909,8.217,10.329
1217103,TEMAZEPAM 15MG CAP,,11,2/13/2023,5.5,3.3,5.049,10.329,5.346,5.049,7.711,7.414,6.226,7.337,7.909,8.217,10.329
7210536,METOPROLOL 25MG TAB,,11,2/13/2023,5.5,3.3,5.049,10.329,5.346,5.049,7.711,7.414,6.226,7.337,7.909,8.217,10.329
7212171,METHYLPREDNIS 4MG PO,J7509,11,2/13/2023,5.5,3.3,5.049,10.329,5.346,5.049,7.711,7.414,6.226,7.337,7.909,8.217,10.329
1218093,NITROGLYC 0.3MG/HR P,,35,2/13/2023,17.5,10.5,16.065,32.865,17.01,16.065,24.535,23.59,19.81,23.345,25.165,26.145,32.865
1316715,SALICYLATE QT,80179,408,2/13/2023,204,122.4,187.272,383.112,198.288,187.272,286.008,274.992,230.928,272.136,293.352,304.776,383.112
1314324,HISTAMINE,83088,195,2/13/2023,97.5,58.5,89.505,183.105,94.77,89.505,136.695,131.43,110.37,130.065,140.205,145.665,183.105
1217046,BENZONATATE 100MG CP,,11,2/13/2023,5.5,3.3,5.049,10.329,5.346,5.049,7.711,7.414,6.226,7.337,7.909,8.217,10.329
1415232,PRSTHS URNARY SPHC 2,C1815,21716,2/13/2023,10858,6514.8,9967.644,20391.324,10553.976,9967.644,15222.916,14636.584,12291.256,14484.572,15613.804,16221.852,20391.324
1160131,AD PROCEDURE GI LV 1,SURG,845,2/13/2023,422.5,253.5,387.855,793.455,410.67,387.855,592.345,569.53,478.27,563.615,607.555,631.215,793.455
1217769,CARBID10-LEVO100MGTB,,11,2/13/2023,5.5,3.3,5.049,10.329,5.346,5.049,7.711,7.414,6.226,7.337,7.909,8.217,10.329
7210645,AMOX1000-CLV62.5MGTB,,28,2/13/2023,14,8.4,12.852,26.292,13.608,12.852,19.628,18.872,15.848,18.676,20.132,20.916,26.292
1314643,"SKIN TEST, TB INTRA",86580,64,2/13/2023,32,19.2,29.376,60.096,31.104,29.376,44.864,43.136,36.224,42.688,46.016,47.808,60.096
1217839,MUPIROCIN 2%OIN 22GM,,200,2/13/2023,100,60,91.8,187.8,97.2,91.8,140.2,134.8,113.2,133.4,143.8,149.4,187.8
